"university","men_22","all_students_22","men_21","all_students_21","men_20","all_students_20","delta_22","mean_age_w_22","mean_age_m_22","mean_age_w_21","mean_age_m_21","mean_age_w_20","mean_age_m_20"
"КОМУНАЛЬНИЙ ЗАКЛАД ""ДНІПРОВСЬКИЙ БАЗОВИЙ ФАХОВИЙ МЕДИЧНИЙ КОЛЕДЖ"" ДНІПРОПЕТРОВСЬКОЇ ОБЛАСНОЇ РАДИ""",32,177,27,194,31,206,19,22,18,19,17,22,17
"вищої освіти ""Університет менеджменту освіти""",126,174,26,61,27,76,385,21,31,18,20,18,20
"Тернопільський кооперативний фаховий коледж",55,174,57,204,34,133,-4,16,21,16,16,16,17
"""Відкритий міжнародний університет розвитку людини ""Україна"" Луцький інститут розвитку людини",140,173,37,94,57,89,278,23,29,23,25,26,21
"""Маловисторопський фаховий коледж ім. П. Рибалка Сумського національного аграрного університету""",151,169,88,122,47,60,72,27,31,28,25,24,21
"""Технологічний фаховий коледж Національного університету ""Львівська політехніка""",90,169,98,216,52,148,-8,16,19,16,16,16,15
"""Морехідний фаховий коледж ім. О. Маринеска Національного університету ""Одеська морська академія""",152,168,121,124,112,114,26,15,17,17,18,22,18
"Чернівецький транспортний фаховий коледж",165,167,49,53,30,31,237,33,27,21,17,17,18
"Фаховий коледж Київського університету інтелектуальної власності та права Національного університету ""Одеська юридична академія""",65,165,94,231,0,0,-31,16,16,16,16,0,0
"""Фаховий коледж морського транспорту Національного університету ""Одеська морська академія""",160,164,188,190,182,183,-15,15,16,15,15,15,15
"Київський фаховий коледж зв'язку",144,164,185,215,185,206,-22,17,18,16,17,16,17
"Херсонський національний технічний університет",110,164,192,330,213,401,-43,22,22,20,19,19,19
"""Техніко-економічний фаховий коледж Національного університету ""Львівська політехніка""",109,163,52,107,44,96,110,16,27,16,16,16,17
"""Відкритий міжнародний університет розвитку людини ""Україна"" Миколаївський інститут розвитку людини",133,160,63,121,64,110,111,29,28,32,24,34,26
"Луцький фаховий коледж рекреаційних технологій і права",137,160,51,85,32,51,169,18,30,16,17,17,17
"Житомирський кооперативний фаховий коледж бізнесу і права",67,159,85,208,61,141,-21,16,16,16,16,16,16
"Фаховий коледж Приватного вищого навчального закладу ""Буковинський університет""",148,159,37,61,36,51,300,15,30,16,16,18,17
"Приватна установа ""Університет ""Київська школа економіки""",89,158,114,195,67,133,-22,21,24,22,22,25,24
"«Рівненський автотранспортний фаховий коледж Національного університету водного господарства та природокористування»",149,157,135,143,95,98,10,15,16,16,16,15,16
"Київський університет права Національної академії наук України",106,157,56,102,57,106,89,18,25,19,21,18,20
"Національна музична академія України ім. П. Чайковського",79,157,113,206,82,166,-30,26,26,23,24,23,23
"""Тернопільський фаховий коледж Тернопільського національного технічного університету ім. І. Пулюя""",145,156,157,181,143,157,-8,16,18,17,17,15,17
"Харківська державна академія культури",92,155,54,159,62,179,70,22,28,18,20,19,20
"Харківський гуманітарний університет ""Народна українська академія""",103,154,16,90,36,137,544,26,33,21,21,20,20
"Черкаський державний бізнес-коледж",117,154,121,185,70,118,-3,17,22,16,17,17,16
"Вищий приватний навчальний заклад ""Львівський медичний університет""",62,153,34,68,28,78,82,23,22,22,19,20,19
