"university","men_22","all_students_22","men_21","all_students_21","men_20","all_students_20","delta_22","mean_age_w_22","mean_age_m_22","mean_age_w_21","mean_age_m_21","mean_age_w_20","mean_age_m_20","all_students_23","men_23","mean_age_w_23","mean_age_m_23","delta_23"
"""Академія рекреаційних технологій і права""",303,360,114,168,102,146,166,26,30,26,24,27,24,397,338,26,32,12
"Фаховий коледж Закладу вищої освіти ""Університет Короля Данила""",139,358,170,412,100,218,-18,15,16,16,16,16,16,442,197,15,18,42
"Одеський національний медичний університет",112,346,218,471,232,451,-49,20,19,19,20,19,20,214,69,19,22,-38
"""Фаховий коледж Київського міжнародного університету""",101,344,222,539,155,384,-55,16,16,16,17,16,16,418,134,16,16,33
"Криворізький державний педагогічний університет",129,338,56,245,83,282,130,22,24,19,20,19,19,339,181,22,28,40
"Відокремлений підрозділ ""Дніпровський факультет менеджменту і бізнесу Київського університету культури""",232,330,38,92,61,154,511,18,27,18,20,18,19,262,198,18,30,-15
"""Буковинський університет""",301,326,64,81,66,80,370,20,28,21,19,19,20,253,215,18,26,-29
"Національна академія керівних кадрів культури і мистецтв",133,319,74,235,70,228,80,20,26,20,21,20,20,262,117,20,27,-12
"Державний університет інтелектуальних технологій і зв'язку",275,317,207,259,0,0,33,18,22,18,19,0,0,778,695,19,27,153
"Комунальний заклад ""Кам'янський фаховий медичний коледж"" Дніпропетровської обласної ради""",72,307,54,192,48,171,33,24,20,19,17,20,17,307,53,24,19,-26
"Новомосковський фаховий кооперативний коледж економіки та права ім.С.Литвиненка",120,306,78,224,66,186,54,16,18,16,16,16,16,278,110,16,19,-8
"""Івано-Франківський фаховий коледж Львівського національного університету природокористування""",266,305,77,119,63,106,245,17,29,16,19,18,19,298,257,17,26,-3
"Чернівецький кооперативний фаховий коледж економіки і права",181,305,101,254,100,253,79,16,24,16,16,16,16,217,108,16,19,-40
"Дніпровський державний медичний університет",97,301,477,876,368,632,-80,20,20,20,20,19,20,143,46,19,20,-53
"Мелітопольський державний педагогічний університет ім. Б. Хмельницького",127,298,145,421,149,389,-12,27,29,23,22,23,22,537,348,30,33,174
"Відокремлений підрозділ Національного університету біоресурсів і природокористування України ""Ніжинський агротехнічний інститут""",258,293,54,67,82,93,378,22,25,21,23,22,23,390,372,18,30,44
"Комунальний заклад вищої освіти «Хортицька національна навчально-реабілітаційна академія» Запорізької обласної ради",118,282,31,215,20,111,281,26,30,27,21,26,23,404,216,33,31,83
"""Фаховий коледж мистецтв та дизайну Київського національного університету технологій та дизайну""",46,271,57,392,48,261,-19,16,16,16,16,16,17,355,72,16,20,57
"Національна академія Служби безпеки України",188,263,105,143,41,59,79,19,20,18,19,19,20,318,207,19,20,10
"Львівська національна академія мистецтв",46,257,35,188,35,174,31,19,22,19,21,19,20,193,28,19,21,-39
"""Одеський технічний фаховий коледж Одеського національного технологічного університету""",180,253,200,296,85,157,-10,16,20,18,18,17,18,279,215,16,22,19
"Херсонська державна морська академія",247,247,343,347,297,302,-28,0,23,18,20,18,19,272,268,21,21,9
"""Відкритий міжнародний університет розвитку людини ""Україна"" Вінницький соціально-економічний інститут",182,246,32,82,46,103,469,28,29,28,26,25,21,201,144,31,31,-21
"Комунальний заклад ""Одеський обласний базовий медичний фаховий коледж""",58,244,67,298,63,240,-13,19,17,17,16,17,16,258,49,19,17,-16
"""Хмельницький політехнічний фаховий коледж Національного університету ""Львівська політехніка""",192,238,196,229,166,192,-2,15,16,15,16,15,16,315,258,16,16,34
"Бердянський державний педагогічний університет",144,237,155,364,177,440,-7,24,27,20,20,21,21,437,305,25,29,112
"""Фінансово-правовий коледж""",106,235,129,248,126,257,-18,16,17,16,17,16,17,296,152,17,17,43
"«Технічний фаховий коледж Луцького національного технічного університету»",165,230,179,235,64,102,-8,16,18,16,16,16,16,318,217,15,20,32
"Вінницький ННІ економіки Західноукраїнського національного університету",196,229,61,91,70,116,221,19,28,18,19,19,19,333,316,19,31,61
"Київський національний університет театру, кіно і телебачення ім. І. Карпенка-Карого",90,228,82,197,80,220,10,20,23,19,20,18,19,159,62,19,21,-31
"Харківська державна академія фізичної культури",178,227,93,137,150,213,91,23,25,21,21,21,21,361,287,23,27,61
"Рівненський кооперативний економіко-правовий фаховий коледж",92,226,83,262,83,250,11,16,19,17,16,17,17,298,139,17,26,51
"Комунальний заклад вищої освіти Львівської обласної ради ""Львівська медична академія ім. Андрея Крупинського""",71,225,48,236,35,170,48,19,24,17,17,19,18,186,39,17,20,-45
"Харківський національний університет будівництва та архітектури",201,225,141,217,177,298,43,22,31,20,23,19,21,0,0,0,0,0
"""Східноєвропейський університет ім. Р. Аблязова""",181,224,37,60,57,99,389,19,29,18,28,20,25,164,137,18,31,-24
"Харківська державна академія дизайну і мистецтв",81,222,73,246,66,281,11,20,26,19,22,19,20,211,51,21,26,-37
"«Економіко-правничий фаховий коледж Запорізького національного університету»",73,221,116,299,88,219,-37,16,16,16,16,16,16,154,56,16,16,-23
"Ніжинський державний університет ім. М. Гоголя",132,221,57,135,71,183,132,20,26,19,21,20,21,300,195,23,29,48
"Київський фаховий коледж туризму та готельного господарства",114,220,149,301,140,315,-23,16,17,16,16,16,16,211,96,16,18,-16
"Національний фармацевтичний університет",98,220,169,443,180,507,-42,22,32,19,20,19,20,215,130,24,30,33
