"university","women_22","men_22","all_students_22","women_21","men_21","all_students_21","delta_22","delta_21","mean_age_w_22","mean_age_m_22","mean_age_w_21","mean_age_m_21"
"Луцький фаховий коледж рекреаційних технологій і права",23,137,160,34,51,85,169,59,18,30,16,17
"Житомирський кооперативний фаховий коледж бізнесу і права",92,67,159,123,85,208,-21,39,16,16,16,16
"Фаховий коледж Приватного вищого навчального закладу ""Буковинський університет""",11,148,159,24,37,61,300,3,15,30,16,16
"Приватна установа ""Університет ""Київська школа економіки""",69,89,158,81,114,195,-22,70,21,24,22,22
"«Рівненський автотранспортний фаховий коледж Національного університету водного господарства та природокористування»",8,149,157,8,135,143,10,42,15,16,16,16
"Київський університет права Національної академії наук України",51,106,157,46,56,102,89,-2,18,25,19,21
"Національна музична академія України ім. П. Чайковського",78,79,157,93,113,206,-30,38,26,26,23,24
"""Тернопільський фаховий коледж Тернопільського національного технічного університету ім. І. Пулюя""",11,145,156,24,157,181,-8,10,16,18,17,17
"Харківська державна академія культури",63,92,155,105,54,159,70,-13,22,28,18,20
"Харківський гуманітарний університет ""Народна українська академія""",51,103,154,74,16,90,544,-56,26,33,21,21
"Черкаський державний бізнес-коледж",37,117,154,64,121,185,-3,73,17,22,16,17
"Вищий приватний навчальний заклад ""Львівський медичний університет""",91,62,153,34,34,68,82,21,23,22,22,19
"""Немішаївський фаховий коледж Національного університету біоресурсів і природокористування України """,35,117,152,55,96,151,22,48,23,23,21,19
"Економіко-правовий фаховий коледж Київського кооперативного інституту бізнесу і права",77,75,152,108,117,225,-36,54,16,17,16,16
"Київська державна академія декоративно-прикладного мистецтва і дизайну ім. М. Бойчука",120,32,152,144,17,161,88,-48,20,24,18,20
"Комунальний заклад вищої освіти ""Волинський медичний інститут"" Волинської обласної ради",140,12,152,64,3,67,300,-25,20,19,17,15
"""Фаховий коледж економіки і технологій Національного університету ""Чернігівська політехніка""",89,62,151,132,62,194,0,32,16,23,16,17
"Одеський державний екологічний університет",13,138,151,10,50,60,176,-18,20,23,19,20
"Коледж Приватного закладу вищої освіти ""Міжнародний класичний університет ім. П. Орлика""",87,62,149,131,77,208,-19,103,19,20,17,16
"""Охтирський фаховий коледж Сумського національного аграрного університету""",7,141,148,20,67,87,110,235,17,27,18,17
"Маріупольський державний університет",49,99,148,170,129,299,-23,-18,23,27,19,21
"Національна академія образотворчого мистецтва і архітектури",111,36,147,95,23,118,57,-8,20,26,19,19
"""Відкритий міжнародний університет розвитку людини ""Україна"" Хмельницький інститут соціальних технологій",44,101,145,31,49,80,106,48,26,25,28,21
